Tipo de Violencia o Discriminación;Procuraduria;Año;Edad de la Victima;Pais o Municipio Vivienda Victima;Nivel Educativo Victima;Estado Familiar Victima;VIOLENCIA PATRIMONIAL;VIOLENCIA PSICOLOGICA;VIOLENCIA FISICA;VIOLENCIA SEXUAL;VIOLENCIA ECONOMICA;VIOLENCIA SIMBOLICA;DISCRIMINACIÓN EN LOS DERECHOS ECONOMICOS Y LABORALES;DISCRIMINACIÓN EN EL DERECHO A LA EDUCACIÓN;DISCRIMINACIÓN EN EL DERECHO A LA PARTICIPACIÓN POLITICA;DISCRIMINACIÓN EN EL DERECHO DE PARTICIPACIÓN EN EL DESARROLLO RURAL;DISCRIMINACIÓN EN LOS DERECHOS A LA SALUD Y OTROS DERECHOS SOCIALES Y CULTURALES;Relación con la persona denunciada
Violencia Intrafamiliar;San Salvador;2017;N/D;SAN SALVADOR;Bachiller;Soltero(a);0;1;0;0;1;0;0;0;0;0;0;Sobrino(a)
Violencia de Género;La Libertad;2017;N/D;QUEZALTEPEQUE;5o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;San Salvador;2017;N/D;TONACATEPEQUE;8o Grado;Casado(a);0;1;0;0;0;0;0;0;0;0;0;Compañero(a) de Trabajo
Violencia Intrafamiliar;La Libertad;2017;N/D;SAN JOSE VILLANUEVA;Sin educación académica;Otro;1;1;1;1;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;La Libertad;2017;N/D;SANTA TECLA;Bachiller;Soltero(a);1;1;0;0;1;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;San Salvador;2017;N/D;AGUILARES;Sin educación académica;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Salvador;2017;N/D;CUSCATANCINGO;Bachiller;Casado(a);1;1;1;1;1;0;0;0;0;0;0;Esposo(a)
Violencia Intrafamiliar;San Salvador;2017;N/D;SAN SALVADOR;9o Grado;Casado(a);0;1;0;0;0;0;0;0;0;0;0;Esposo(a)
Violencia Intrafamiliar;San Salvador;2017;N/D;SAN SALVADOR;9o Grado;Casado(a);0;1;1;1;1;0;0;0;0;0;0;Esposo(a)
Violencia de Género;La Libertad;2017;N/D;EL SALVADOR;3er Grado;Casado(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;N/D;SAN JUAN OPICO;3er Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;N/D;ZARAGOZA;Sin educación académica;Casado(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;San Salvador;2017;N/D;CIUDAD DELGADO;Cursando Universidad;Casado(a);0;1;0;0;0;0;0;0;0;0;0;Compañero(a) de Trabajo
Violencia Intrafamiliar;La Libertad;2017;N/D;QUEZALTEPEQUE;Egresado Universitario;Casado(a);0;1;0;0;0;0;0;0;0;0;0;Esposo(a)
Violencia Intrafamiliar;San Salvador;2017;N/D;SAN SALVADOR;Egresado Universitario;Casado(a);0;1;0;0;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Vicente;2017;N/D;SANTO DOMINGO;5o Grado;Casado(a);1;1;1;0;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;La Unión;2017;N/D;CONCHAGUA;1er Grado;Soltero(a);0;1;1;1;1;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;San Vicente;2017;N/D;SAN VICENTE;Bachiller;Casado(a);0;1;1;0;0;0;0;0;0;0;0;Esposo(a)
Violencia de Género;La Libertad;2017;13;COLON;6o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;13;EL SALVADOR;5o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia Intrafamiliar;Cabañas;2017;13;DOLORES;6o Grado;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;Expareja
Violencia de Género;La Libertad;2017;14;CIUDAD ARCE;7o Grado;Unión no matrimonial;0;0;0;0;0;0;0;0;0;0;0;Compañero(a) de Estudios
Violencia de Género;La Libertad;2017;14;LA LIBERTAD;7o Grado;Unión no matrimonial;0;0;0;0;0;0;0;0;0;0;0;N/D
Violencia de Género;Chalatenango;2017;15;CHALATENANGO;8o Grado;Soltero(a);0;0;0;1;0;0;0;0;0;0;0;Novio(a)
Violencia de Género;La Libertad;2017;15;SAN JUAN OPICO;7o Grado;Soltero(a);1;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Paz;2017;15;SOYAPANGO;Sin educación académica;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;San Salvador;2017;15;MEJICANOS;6o Grado;Soltero(a);1;1;0;1;1;0;0;0;0;0;0;Hijastro(a)
Violencia Intrafamiliar;Ahuachapán;2017;15;AHUACHAPAN;9o Grado;Soltero(a);1;1;1;0;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Vicente;2017;15;APASTEPEQUE;8o Grado;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;Es hijo(a) de
Violencia Intrafamiliar;Santa Ana;2017;15;SANTA ANA;8o Grado;Soltero(a);1;1;1;0;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;Usulután;2017;15;JIQUILISCO;Sin educación académica;Casado(a);0;1;0;0;0;0;0;0;0;0;0;Expareja
Violencia de Género;Chalatenango;2017;16;NUEVA TRINIDAD;Sin educación académica;Soltero(a);0;0;0;1;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia de Género;La Unión;2017;16;CONCHAGUA;7o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;San Salvador;2017;16;SAN MARCOS;1er. Año de Bachillerato;Casado(a);0;0;1;1;1;0;0;0;0;0;0;Es hijo(a) de
Violencia de Género;San Salvador;2017;16;SAN MARCOS;9o Grado;Soltero(a);0;1;0;1;1;0;0;0;0;0;0;Expareja
Violencia de Género;San Salvador;2017;16;SAN SALVADOR;Cursando Universidad;Soltero(a);0;1;0;1;0;0;0;0;0;0;0;N/D
Violencia Intrafamiliar;Chalatenango;2017;16;SAN ANTONIO LA CRUZ;4o Grado;Soltero(a);0;1;0;1;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;La Libertad;2017;16;COLON;1er. Año de Bachillerato;Soltero(a);0;1;1;1;1;0;0;0;0;0;0;N/D
Violencia Intrafamiliar;La Libertad;2017;16;COMASAGUA;3er Grado;Soltero(a);0;1;1;0;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;La Paz;2017;16;ZACATECOLUCA;9o Grado;Soltero(a);1;1;0;0;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Miguel;2017;16;SAN MIGUEL;5o Grado;Soltero(a);1;1;1;1;1;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;San Salvador;2017;16;SAN SALVADOR;9o Grado;Sin Seleccionar;1;1;1;0;0;0;0;1;0;0;0;Es padre de
Violencia Intrafamiliar;San Vicente;2017;16;APASTEPEQUE;8o Grado;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;Es hijo(a) de
Violencia de Género;Ahuachapán;2017;17;SAN SEBASTIAN SALITRILLO;7o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;Cabañas;2017;17;ILOBASCO;8o Grado;Soltero(a);0;1;1;0;1;0;0;0;0;0;0;Expareja
Violencia de Género;Chalatenango;2017;17;CHALATENANGO;8o Grado;Soltero(a);0;0;0;1;0;0;0;0;0;0;0;Sobrino(a)
Violencia de Género;La Libertad;2017;17;COLON;7o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;17;COLON;8o Grado;Unión no matrimonial;0;0;0;0;0;0;0;0;0;0;0;N/D
Violencia de Género;La Libertad;2017;17;LA LIBERTAD;8o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;San Salvador;2017;17;SAN SALVADOR;7o Grado;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;Vecino(a)
Violencia de Género;San Salvador;2017;17;SAN SALVADOR;9o Grado;Casado(a);0;1;0;1;0;0;0;0;0;0;0;Vecino(a)
Violencia de Género;San Salvador;2017;17;SAN SALVADOR;Bachiller;Soltero(a);0;1;0;1;0;0;0;0;0;0;0;Es padre de
Violencia Intrafamiliar;Ahuachapán;2017;17;EL REFUGIO;2o. Año de Bachillerato;Soltero(a);0;1;1;0;0;0;0;0;0;0;0;Es hijo(a) de
Violencia Intrafamiliar;San Vicente;2017;17;TECOLUCA;3er Grado;Soltero(a);0;1;0;0;1;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia de Género;La Libertad;2017;18;COLON;8o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;18;HUIZUCAR;6o Grado;Unión no matrimonial;0;0;0;0;0;0;0;0;0;0;0;Compañero(a) de Estudios
Violencia de Género;La Libertad;2017;18;LA LIBERTAD;5o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;18;SANTA TECLA;9o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;18;ZARAGOZA;1er. Año de Bachillerato;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;N/D
Violencia de Género;La Libertad;2017;18;ZARAGOZA;1er. Año de Bachillerato;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Paz;2017;18;SANTA ANA;8o Grado;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Paz;2017;18;ZACATECOLUCA;1er. Año de Bachillerato;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Paz;2017;18;ZACATECOLUCA;4o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Unión;2017;18;LA UNION;9o Grado;Casado(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;Usulután;2017;18;USULUTAN;7o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia Intrafamiliar;Cabañas;2017;18;ILOBASCO;Bachiller;Soltero(a);0;1;0;0;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;Cabañas;2017;18;SAN ISIDRO;Bachiller;Soltero(a);0;1;1;0;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;La Paz;2017;18;SAN MARCOS;8o Grado;Soltero(a);1;1;0;0;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;La Paz;2017;18;ZACATECOLUCA;6o Grado;Soltero(a);1;1;1;0;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;La Unión;2017;18;LA UNION;7o Grado;Soltero(a);1;1;0;1;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;La Unión;2017;18;SANTA ROSA DE LIMA;Bachiller;Soltero(a);1;1;1;1;1;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;San Miguel;2017;18;LOLOTIQUE;2o. Año de Bachillerato;Soltero(a);1;1;0;1;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Salvador;2017;18;SAN MARTIN;Bachiller;Casado(a);1;1;1;0;1;0;0;0;0;0;0;Esposo(a)
Violencia Intrafamiliar;San Salvador;2017;18;SAN SALVADOR;5o Grado;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;Vecino(a)
Violencia Intrafamiliar;San Salvador;2017;18;SAN SALVADOR;Bachiller;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;Chalatenango;2017;19;CHALATENANGO;9o Grado;Soltero(a);1;1;0;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia de Género;La Libertad;2017;19;ANTIGUO CUSCATLAN;2o. Año de Bachillerato;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;19;LA LIBERTAD;2o. Año de Bachillerato;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;19;LA LIBERTAD;Sin educación académica;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;19;LA UNION;Técnico;Soltero(a);0;0;0;0;0;0;0;1;0;0;0;otro
Violencia de Género;La Libertad;2017;19;SAN JUAN OPICO;6o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;19;SANTA TECLA;2o. Año de Bachillerato;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;19;SANTA TECLA;5o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;19;SANTA TECLA;6o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;Compañero(a) de Estudios
Violencia de Género;La Libertad;2017;19;SANTA TECLA;Bachiller;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;19;ZARAGOZA;Bachiller;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;N/D
Violencia de Género;La Paz;2017;19;ZACATECOLUCA;8o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Paz;2017;19;ZACATECOLUCA;Sin educación académica;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Unión;2017;19;LA UNION;9o Grado;Casado(a);0;0;0;0;0;0;0;0;0;0;0;Expareja
Violencia de Género;San Salvador;2017;19;SAN SALVADOR;7o Grado;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;Vecino(a)
Violencia de Género;San Salvador;2017;19;SAN SALVADOR;9o Grado;Casado(a);0;1;0;0;0;0;0;0;0;0;0;Vecino(a)
Violencia de Género;San Salvador;2017;19;SAN SALVADOR;Bachiller;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;Vecino(a)
Violencia de Género;San Salvador;2017;19;SAN SALVADOR;Cursando Universidad;Divorciado(a);0;1;0;1;0;0;0;0;0;0;0;Compañero(a) de Trabajo
Violencia de Género;San Salvador;2017;19;SAN SALVADOR;Graduado Universitario;Casado(a);1;1;0;0;1;0;0;0;0;0;0;Esposo(a)
Violencia de Género;San Salvador;2017;19;SAN SALVADOR;Sin educación académica;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;Compañero(a) de Estudios
Violencia de Género;Santa Ana;2017;19;CHALCHUAPA;9o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia Intrafamiliar;Ahuachapán;2017;19;AHUACHAPAN;6o Grado;Soltero(a);1;1;0;1;0;0;0;0;0;0;0;Compañero(a) de Estudios
Violencia Intrafamiliar;Ahuachapán;2017;19;TACUBA;9o Grado;Soltero(a);0;1;1;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;Cabañas;2017;19;ILOBASCO;Bachiller;Soltero(a);1;1;0;0;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;La Libertad;2017;19;LA LIBERTAD;4o Grado;Otro;0;0;0;0;0;0;0;0;0;0;0;N/D
Violencia Intrafamiliar;La Libertad;2017;19;LA LIBERTAD;4o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia Intrafamiliar;La Libertad;2017;19;LA LIBERTAD;Cursando Universidad;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;Es hijo(a) de
Violencia Intrafamiliar;La Paz;2017;19;SAN LUIS LA HERRADURA;5o Grado;Soltero(a);1;1;1;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;San Salvador;2017;19;CIUDAD DELGADO;9o Grado;Soltero(a);0;1;0;0;1;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;San Salvador;2017;19;ILOPANGO;8o Grado;Soltero(a);0;1;1;0;1;0;0;0;0;0;0;Compañero(a) de Estudios
Violencia Intrafamiliar;San Salvador;2017;19;MEJICANOS;Bachiller;Soltero(a);0;1;0;0;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Salvador;2017;19;SAN SALVADOR;9o Grado;Soltero(a);0;1;0;0;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Salvador;2017;19;SAN SALVADOR;Bachiller;Soltero(a);0;1;1;0;0;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;San Salvador;2017;19;SAN SALVADOR;Graduado Universitario;Casado(a);1;1;0;0;1;0;0;0;0;0;0;Esposo(a)
Violencia Intrafamiliar;San Vicente;2017;19;SAN VICENTE;8o Grado;Soltero(a);0;1;1;1;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;Santa Ana;2017;19;CHALCHUAPA;Cursando Universidad;Soltero(a);0;1;0;1;0;0;0;0;0;0;0;Es primo(a) de
Violencia Intrafamiliar;Sonsonate;2017;19;SALCOATITAN;7o Grado;Soltero(a);1;1;1;0;1;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia Intrafamiliar;Sonsonate;2017;19;SALCOATITAN;7o Grado;Soltero(a);1;1;1;0;1;0;0;0;0;0;0;Expareja
Violencia Intrafamiliar;Sonsonate;2017;19;SONZACATE;Cursando Universidad;Soltero(a);0;1;0;0;0;1;0;0;0;0;0;Expareja
Violencia Intrafamiliar;Usulután;2017;19;OZATLAN;8o Grado;Casado(a);1;1;1;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia de Género;La Libertad;2017;20;LA LIBERTAD;7o Grado;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Libertad;2017;20;SAN SALVADOR;Bachiller;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;Compañero(a) de Estudios
Violencia de Género;La Libertad;2017;20;SANTA ANA;Bachiller;Unión no matrimonial;0;0;0;0;0;0;1;1;0;0;0;otro
Violencia de Género;La Libertad;2017;20;SANTA ANA;Graduado Universitario;Casado(a);0;0;0;0;0;0;1;1;0;0;0;otro
Violencia de Género;La Paz;2017;20;EL SALVADOR;Sin educación académica;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;otro
Violencia de Género;La Paz;2017;20;ZACATECOLUCA;6o Grado;Soltero(a);0;1;1;0;0;0;0;0;0;0;0;Es compañero(a) de vida de
Violencia de Género;La Paz;2017;20;ZACATECOLUCA;Sin educación académica;Soltero(a);0;0;0;0;0;0;0;0;0;0;0;Compañero(a) de Estudios
